Product,Product Type,"Extension
period",Vendor,"Effective
Date",Remarks,
Apple Juice (canned),Beverages,18 months,N/A,6/1/97,,
"Apples & Applesauce
(canned)",Fruit,24 months,N/A,6/1/97,,
Apricots (canned),Fruit,24 months,N/A,6/1/97,,
"Baby cereal Del Monte
(oatmeal based)",Baby food,30 days,Del Monte,6/9/04,Del Monte only,
"Baby cereal Del Monte
(rice based)",Baby food,60 days,Del Monte,6/9/04,Del Monte only,
"Baby food (jarred) Del
Monte",Baby food,0 days,Del Monte,4/14/04,Del Monte only,
Bacon (frozen),Meats,indefinitely,N/A,12/23/03,Until product appears bad,
Bacon Bits (imitation),Condiments,4 months,N/A,12/23/03,,
"Bacon Oscar Meyer, Louis
Rich",Meats,60 days,Kraft,3/1/03,Kraft products only,
Bagels (frozen),Breads & Cereal,2 months,N/A,12/23/03,,
"Bakers, Calumet,
Certo,Everfresh Kraft","Baking
Ingredients",60 days,Kraft,3/1/03,Kraft products only,
Bakery Mix Biscuit type,Breads & Cereal,12 months,N/A,6/1/97,,
Baking Powder,"Baking
Ingredients",6 months,N/A,12/23/03,,
BBQ sauce,Condiments,12 months,N/A,12/23/03,,
Beans (canned),Vegetables,5 years,N/A,12/23/03,,
"Beans, dried",Legumes,12 months,N/A,12/23/03,,
Beans-canned (all types),Legumes,36 months,N/A,6/1/97,,
Beans-dry (all types),Legumes,12 months,N/A,6/1/97,,
Beans-vegetarian canned,Legumes,24 months,N/A,6/1/97,,
Beef (canned),Meats,36 months,N/A,6/1/97,,
Beef (frozen),Meats,indefinitely,N/A,12/23/03,Until product appears bad,
Beef patties (frozen),Meats,indefinitely,N/A,6/1/97,Until product appears bad,
Beef roast (frozen),Meats,indefinitely,N/A,6/1/97,Until product appears bad,
Beef-ground (frozen),Meats,indefinitely,N/A,6/1/97,Until product appears bad,
Biscuit or pancake mix,"Baking
Ingredients",15 months,N/A,12/23/03,,
"Blackberries/Blueberries
(Frozen)",Fruit,18 months,N/A,6/1/97,,
Bread dough (frozen),Breads & Cereal,0 days,N/A,12/23/03,,
Bread mixes,"Baking
Ingredients",18 months,N/A,12/23/03,,
"Breakfast drink (shelf
stable dairy product)",Dairy,6 months,N/A,5/26/05,Website info,
Burritos (frozen),Entrees,2 months,N/A,12/23/03,Until product appears bad,
Butter,Dairy,3 months,N/A,12/23/03,9 months frozen,
"Butter & Margarine
(Fleischmann's Blue
Bonnet & Parkay)",Dairy,30 days,Nabisco,4/13/04,Nabisco only,
